ID,Host,Lifecycle Stage,Deleted 6/11/23,Created At,Response,Notes
ce722650-d561-4631-b500-d0ace366efb9,healthwatch-england.citizenlab.co,churned,,2021-02-02 15:23:38,Error: Failed to open TCP connection to healthwatch-england.citizenlab.co:443 (Connection refused - connect(2) for healthwatch-england.citizenlab.co port 443),Using URL for other app: https://www.healthwatch.co.uk/have-your-say
26648212-f6ff-4263-872f-ea8c70ed91d1,citizenlab.seattle.gov,active,,2020-03-04 10:02:41,Error: SSL_connect returned=1 errno=0 state=error: certificate verify failed (certificate has expired),NET::ERR_CERT_DATE_INVALID
12eecf15-0637-4d97-95ef-92f2055361d1,idee.namensnederland.nl,churned,DELETED,2020-04-23 8:52:13,Error: SSL_connect returned=1 errno=0 state=error: certificate verify failed (Hostname mismatch),Using URL for placeholder page: http://idee.namensnederland.nl/
59c525f3-6359-40b0-b2cc-5d0d3078f4f3,hilversum2040.nl,churned,DELETED,2021-05-25 16:50:06,Error: SSL_connect returned=1 errno=0 state=error: certificate verify failed (self signed certificate),Redirects to other app: https://www.bouwenaanhilversum.nl/hilversum2040/start/default.aspx
c114943b-79c1-4866-9534-b8b9db3027f1,www.zukunft-pfaffenhausen.de,churned,DELETED,2017-12-18 16:58:18,Error: unexpected token at <!DOCTYPE html><html data-adblockkey=MFwwDQYJKoZIhvcNAQEBBQADSwAwSAJBALquDFETXRn0Hr05fUP7EJT77xYnPmRbpMy4vk8KYiHnkNpednjOANJcaXDXcKQJN0nXKZJL7TciJD8AoHXK158CAwEAAQ==_OR0OqC9eqKGxNHPOpAbaRd2Zy+xxF8QyLbJxns+80i7cpThiptD/8D4y2AB1rHvcpJUeq4kMm1ZqqwusQPQkBg== xmlns=http://www.w3.org/1999/xhtml xml:lang=en lang=en> ...,Using URL for other app: https://www.zukunft-pfaffenhausen.de/
3fef1304-ed97-4aeb-8daf-8d8c5ba07ea2,meridianoneconsultation.co.uk,churned,DELETED,2020-08-21 11:16:57,Error: unexpected token at <!doctype html><html data-adblockkey=MFwwDQYJKoZIhvcNAQEBBQADSwAwSAJBANDrp2lz7AOmADaN8tA50LsWcjLFyQFcb/P2Txc58oYOeILb3vBw7J6f4pamkAQVSQuqYsKx3YzdUHCvbVZvFUsCAwEAAQ==_DpXoI9B1krFaN3m7ovENt/+dUKmTRHxT0UI3tVEiYbZ5FQksJolwzmVHCG6PODk0SEzeXR8Mxp0KtvizPhcUCg== lang=en>...,Using URL for othr app: https://meridianoneconsultation.co.uk/
7230fbee-c0ec-4f4e-9c36-67c5ec6cac0f,adminhqtest3.citizenlab.co,trial,,2023-11-22 16:38:34,Net::OpenTimeout: Failed to open TCP connection to adminhqtest3.citizenlab.co:443 (execution expired),Not on AdminHQ - deleted?
6711cbeb-de22-49c3-a221-d1eb7f4940b3,dallas-demo.citizenlab.co,demo,DELETED,2022-02-02 23:14:05,Net::OpenTimeout: Failed to open TCP connection to dallas-demo.citizenlab.co:443 (execution expired),Page not loading - is on AdminHQ - broken demo?
ed0ee39e-f293-417e-869c-a09dc37bcb5f,demo.envigado.citizenlab.co,demo,DELETED,2021-08-23 14:04:45,Net::OpenTimeout: Failed to open TCP connection to demo.envigado.citizenlab.co:443 (execution expired),Page not loading - is on AdminHQ - broken demo?
9557948c-9285-454b-9112-ecee718a16b0,forum.wichita.gov,churned,DELETED,2021-05-17 13:20:39,Net::OpenTimeout: Failed to open TCP connection to forum.wichita.gov:443 (execution expired),Page not loading - is on AdminHQ - churned
b81f2a69-82c7-4abe-83cc-cad6252d6d17,hodb.citizenlab.co,active,,2023-08-23 13:20:46,Net::OpenTimeout: Failed to open TCP connection to hodb.citizenlab.co:443 (execution expired),"Now at https://heistdenktmee.be/nl-BE/, managed by terraform"
9bfe7bf3-2bf3-4f30-ae47-46f0e8c818b1,joe-demo.citizenlab.co,trial,,2023-11-15 10:46:53,Net::OpenTimeout: Failed to open TCP connection to joe-demo.citizenlab.co:443 (execution expired),Deleted by me 30-Nov
8ddd198c-0268-490f-ada5-734f30b696ac,kickbeligum.citizenlab.co,active,,2023-11-27 8:36:43,Net::OpenTimeout: Failed to open TCP connection to kickbeligum.citizenlab.co:443 (execution expired),Not on AdminHQ - deleted?
e7c76ef9-1c14-475c-8dc9-6f454aa36d49,noord-beveland.citizenlab.co,active,,2023-09-07 6:36:30,Net::OpenTimeout: Failed to open TCP connection to noord-beveland.citizenlab.co:443 (execution expired),"Now has custom domain, denkmee.noord-beveland.nl, terraformed, Metabase out-of-date"
