arn,domain_name,subject_alternative_names,status,type,renewal_eligibility,created_at,imported_at,not_after
arn:aws:acm:us-east-1:389841910643:certificate/a071564e-abb2-4bc2-ae59-a8e4dc6dce94,*.citizenlab.co,"*.citizenlab.co,*.stg.citizenlab.co,*.hq.citizenlab.co",EXPIRED,AMAZON_ISSUED,INELIGIBLE,2017-06-03 00:20:40 +0200,,2018-07-02 14:00:00 +0200
arn:aws:acm:us-east-1:389841910643:certificate/a495eb96-8a06-4ab4-9b29-ce5ce5a98b45,www.govchat.org.za,www.govchat.org.za,EXPIRED,AMAZON_ISSUED,INELIGIBLE,2018-02-08 11:30:44 +0100,,2019-03-10 13:00:00 +0100
arn:aws:acm:us-east-1:389841910643:certificate/7891a065-cc5a-45c5-8611-a65f466d81b7,*.citizenlab.co,"*.citizenlab.co,*.vox.vub.be,vox.vub.be",EXPIRED,AMAZON_ISSUED,INELIGIBLE,2018-02-19 17:40:30 +0100,,2019-03-19 13:00:00 +0100
arn:aws:acm:us-east-1:389841910643:certificate/6a972025-ea0e-4c29-b228-c3b9d0d7e6e8,www.schiedammersmakendestad.nl,"www.schiedammersmakendestad.nl,*.citizenlab.co",EXPIRED,AMAZON_ISSUED,INELIGIBLE,2018-03-23 15:05:48 +0100,,2019-04-24 14:00:00 +0200
arn:aws:acm:us-east-1:389841910643:certificate/948b1083-b603-4931-aea3-4b47f4e7992c,www.reconstruisonsverviers.be,"www.reconstruisonsverviers.be,*.www.reconstruisonsverviers.be",EXPIRED,AMAZON_ISSUED,INELIGIBLE,2018-04-26 17:18:32 +0200,,2019-05-26 14:00:00 +0200
arn:aws:acm:us-east-1:389841910643:certificate/03d55b16-743a-426a-abcf-eb88f84fdb69,onlinestadsgesprek.harderwijk.nl,"onlinestadsgesprek.harderwijk.nl,*.onlinestadsgesprek.harderwijk.nl",EXPIRED,AMAZON_ISSUED,INELIGIBLE,2018-10-05 17:29:49 +0200,,2019-11-08 13:00:00 +0100
arn:aws:acm:us-east-1:389841910643:certificate/a0d02692-31d9-43ef-b5ba-3d1df50d39e8,aalsmeer.forward.citizenlab.eu,aalsmeer.forward.citizenlab.eu,EXPIRED,AMAZON_ISSUED,INELIGIBLE,2019-03-07 17:19:03 +0100,,2020-04-07 14:00:00 +0200
arn:aws:acm:us-east-1:389841910643:certificate/3dd376fe-f649-441c-b394-a7ef7fa8d97f,mijnideevoorvlaamsbrabant.be,"mijnideevoorvlaamsbrabant.be,*.mijnideevoorvlaamsbrabant.be",EXPIRED,AMAZON_ISSUED,INELIGIBLE,2018-04-16 17:52:39 +0200,,2020-04-18 14:00:00 +0200
arn:aws:acm:us-east-1:389841910643:certificate/96282444-d351-4a7a-af1b-2593d1ff582e,welklimburgwiljij.be,"welklimburgwiljij.be,*.welklimburgwiljij.be",EXPIRED,AMAZON_ISSUED,INELIGIBLE,2018-04-26 11:52:47 +0200,,2020-04-29 14:00:00 +0200
arn:aws:acm:us-east-1:389841910643:certificate/452df8e6-26d7-440b-967e-253c6eb2404a,dizukunft.de,"dizukunft.de,*.dizukunft.de",EXPIRED,AMAZON_ISSUED,INELIGIBLE,2019-06-03 14:01:06 +0200,,2020-07-04 14:00:00 +0200
arn:aws:acm:us-east-1:389841910643:certificate/b6601046-946e-4211-abf1-72ee5119fa3e,bienenroute.brussels,"bienenroute.brussels,*.bienenroute.brussels",EXPIRED,AMAZON_ISSUED,INELIGIBLE,2018-10-18 17:32:51 +0200,,2020-10-20 14:00:00 +0200
arn:aws:acm:us-east-1:389841910643:certificate/3b365de7-5ff5-47c7-9956-f199700db63f,referendum.kortrijkspreekt.be,referendum.kortrijkspreekt.be,EXPIRED,AMAZON_ISSUED,INELIGIBLE,2019-10-02 21:37:44 +0200,,2020-11-02 13:00:00 +0100
arn:aws:acm:us-east-1:389841910643:certificate/8cf04928-d603-4666-8707-a87cf47f0f52,sammenom.hillerod.dk,,VALIDATION_TIMED_OUT,AMAZON_ISSUED,INELIGIBLE,2020-03-09 14:26:25 +0100,,
arn:aws:acm:us-east-1:389841910643:certificate/38acca6d-3b15-4712-bc5b-f9b14e345c47,deltag.furesoe.dk,deltag.furesoe.dk,EXPIRED,AMAZON_ISSUED,INELIGIBLE,2020-05-14 17:01:45 +0200,,2021-06-14 14:00:00 +0200
arn:aws:acm:us-east-1:389841910643:certificate/77f3e7bd-c577-43eb-9940-d77426c4208d,involve.winsford.gov.uk,"involve.winsford.gov.uk,*.involve.winsford.gov.uk",EXPIRED,AMAZON_ISSUED,INELIGIBLE,2020-06-23 17:14:26 +0200,,2021-07-23 14:00:00 +0200
