id,domain_name,certificate_arn,aliases,comment,restrictions
E2Q3IP9QFUIZNB,d9pner0xhf5ap.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/7250229e-1727-4e59-a484-78c7ed0cbd68,*.stg.citizenlab.co,,
E1MXOX27YGJGS0,d3m6t70kct18ep.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/7250229e-1727-4e59-a484-78c7ed0cbd68,i18n.stg.citizenlab.co,,
E2MY732QC516J3,d22u23ab7nfmi3.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/148c91cf-bef3-4ec7-afd2-8d38cb834b0d,"*.citizenlab.nl,*.citizenlab.co,*.citizenlab.be",,
E1B4U92LFZO7A7,d11sw6i8w0vz0j.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/89fb4249-62bd-4084-9a75-d107eec04181,ideas.smartertogether.ca,,
E3UULSPV0GMLKI,d1ec3o1s8kflwo.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/eec194a1-ac50-4794-ac41-b37015000792,support.citizenlab.co,,
EV70M5D9G6J1Z,d1rcaq0mcnwaut.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/94b6ca06-5155-453e-9783-8ff4e17bc244,www.zukunft-pfaffenhausen.de,,
ETEEW5KWCLCC0,d1u4025w07jdj8.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/ea396029-bb95-44c8-8bb5-fd572949a39f,engage.vub.be,,"IN,VN,ZM,BD,ID,PK,KH"
E2TNIEGLJPDO5M,d2fwks60mhmcrv.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/f370e34e-c1a4-45db-915a-1163b1a80032,www.meinaugustusburg.de,,
E1Q2BPVGTMX2SS,d3an3cz7irin2j.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/ab877c9a-aee6-47c6-836e-0576d42e4784,www.demain-mont-saint-guibert.be,,
EQCD2M7FG16ZG,dvs26bsv1snlu.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/a495eb96-8a06-4ab4-9b29-ce5ce5a98b45,www.govchat.org.za,,
E3JE28R00ID8AH,d1fj6didoocmbt.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/438e1f9b-a59c-44a9-8689-9b80eccb9225,www.bodobylab.no,,
ENPPARVDNJGCG,d2m8sbkvwl94q.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/3dd376fe-f649-441c-b394-a7ef7fa8d97f,mijnideevoorvlaamsbrabant.be,,
E27PQY30VQD0L2,d3rqtxvejm6sn8.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/b9bf57d7-b1c3-4d17-832d-e6aad2e1a0d7,www.onscranendonck.nu,,
E2FWZ5ZIH4RAJU,d3q8byowxjj473.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/948b1083-b603-4931-aea3-4b47f4e7992c,www.reconstruisonsverviers.be,,
E3SZN4AKFSPCMQ,d1w1g1depihmjr.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/96282444-d351-4a7a-af1b-2593d1ff582e,www.welklimburgwiljij.be,,
ENUIRL1PV7V2P,d1zs1upxc8f6ah.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/f328a344-d3e6-4c21-9578-bdd67f3c3060,participate.smartcity.brussels,,"IN,VN,ZM,BD,ID,PK,KH"
E377KFKJLM87G6,detl0n5rrfz2n.cloudfront.net,arn:aws:acm:us-east-1:389841910643:certificate/60dfcd86-e043-48c3-92e1-b1290cef45fe,www.mortselinbeweging.be,,
