name,provider,category,sslCertificate,wildCardDomain,setSpamGeoBlock,setHSTSLambda,LoadBalancerDomain,s3Assets
cl2-cf-pfaffenhausen,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/94b6ca06-5155-453e-9783-8ff4e17bc244,www.zukunft-pfaffenhausen.de,,,,
cl2-cf-vub,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/ea396029-bb95-44c8-8bb5-fd572949a39f,engage.vub.be,TRUE,,,
cl2-cf-augustusburg,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/f370e34e-c1a4-45db-915a-1163b1a80032,www.meinaugustusburg.de,,,,
cl2-cf-mont-saint-guibert,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/ab877c9a-aee6-47c6-836e-0576d42e4784,www.demain-mont-saint-guibert.be,,,,
cl2-cf-govchat,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/a495eb96-8a06-4ab4-9b29-ce5ce5a98b45,www.govchat.org.za,,,,
cl2-cf-bodo,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/438e1f9b-a59c-44a9-8689-9b80eccb9225,www.bodobylab.no,,,,
cl2-cf-vlaams-brabant,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/3dd376fe-f649-441c-b394-a7ef7fa8d97f,mijnideevoorvlaamsbrabant.be,,,,
cl2-cf-cranendonck,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/b9bf57d7-b1c3-4d17-832d-e6aad2e1a0d7,www.onscranendonck.nu,,,,
cl2-cf-reconstruisonsverviers.be,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/948b1083-b603-4931-aea3-4b47f4e7992c,www.reconstruisonsverviers.be,,,,
cl2-cf-limburg,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/96282444-d351-4a7a-af1b-2593d1ff582e,www.welklimburgwiljij.be,,,,
cl2-cf-smartcitybrussels,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/f328a344-d3e6-4c21-9578-bdd67f3c3060,participate.smartcity.brussels,TRUE,,,
cl2-cf-mortsel,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/60dfcd86-e043-48c3-92e1-b1290cef45fe,www.mortselinbeweging.be,,,,
cl2-cf-steenokkerzeel,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/1c0fb4b8-2c9b-44f6-af8c-84a5a7a1d39b,mijngedacht.steenokkerzeel.be,,,,
cl2-cf-jaimerueil,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/b360f852-e831-48c1-90e9-31b48ecc0a92,jaimerueiljeparticipe.fr,,,,
cl2-cf-frw,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/46427cf4-4c7d-46a3-bc89-6b0bd4e8a549,participation.frw.be,,,,
cl2-cf-wapeisje,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/196b079a-8e95-4300-8ecf-df2d68ed570d,wapeisje.be,,,,
cl2-cf-bermuda,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/c627b414-814c-4bda-b7be-4a3fe4b27bf3,forum.gov.bm,TRUE,,,
cl2-cf-grandparissud,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/d9db0e1f-f1d9-4229-8452-bdbc5f1d9d54,participer.grandparissud.fr,TRUE,,,
cl2-cf-harderwijk,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/0f1dbc40-5207-4ad3-8030-0ea63926da5c,onlinestadsgesprek.harderwijk.nl,,,,
cl2-cf-niel,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/1ae27d65-f329-430a-af1c-ac1e2775ab0c,participatie.niel.be,,,,
cl2-cf-ideas4planet,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/1831d170-63be-4558-b1bc-49d5c17b286b,ideas4planet.be,,,,
cl2-cf-inclusiondigitaleinclusie,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/91018897-c7ca-48a8-a646-81df00f3481e,inclusiondigitaleinclusie.be,,,,
cl2-cf-bienenroute,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/b6601046-946e-4211-abf1-72ee5119fa3e,bienenroute.brussels,,,,
cl2-cf-laarne,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/51a295fa-5843-410b-ae15-4cae20e18583,participatie.laarne.be,,,,
cl2-cf-sint-niklaas,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/cefc9b00-dd24-4cf9-bb1a-bbd477f17f27,inspraak.sint-niklaas.be,,,,
cl2-cf-woppem,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/d4ba1f0b-290f-493a-8c59-d0869ad93266,idee-wo.be,,,,
cl2-cf-lariche,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/7c27e271-0c30-4a73-9da6-bfde7a41fbc9,jaimelariche.fr,,,,
cl2-cf-orsay,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/6decd501-dcf0-44f2-bb4b-64d28839bc5b,participez.mairie-orsay.fr,,,,
cl2-cf-kortrijk,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/be4fb6e2-d546-431b-959a-8a85524357c7,kortrijkspreekt.be,,,,
cl2-cf-grigny91,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/4be5ee0e-f526-4f23-947c-3b61076bfa56,participationcitoyenne.grigny91.fr,,,,
cl2-cf-youth4climate,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/1e334e56-6c4a-49f7-80c6-ac981cac70b3,youth4climate.be,TRUE,,,
cl2-cf-zwevegem,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/e09cf773-a811-4159-b981-76e016a686f0,zwevegemparticipeert.be,,,,
cl2-cf-cusset,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/dce7ea42-33be-462b-9a52-ca9e0a447981,jeparticipe-cusset.com,,,,
cl-cf-kinrooi,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/ec30128e-6cc2-42d2-9817-a97ce5c69497,kinrooimeemaken.be,,,,
cl-cf-aalsmeer,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/a49e3441-fa5c-4903-9e9a-66efb5e88e63,participatie.aalsmeer.nl,,TRUE,,
cl2-cf-leuven,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/4873d666-5bc0-4451-af58-05555985d780,leuvenmaakhetmee.be,,,,
cl2-cf-speakup,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/7e87216a-2825-4a27-848b-d718a64481d9,speakup2019.be,,,,
cl2-cf-waregem,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/949b045e-5d3e-4dbe-83bd-e5febb64f74d,denkmeemet.waregem.be,,,,
cl-cf-hoogstraten,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/5c7fee0e-7734-4e9e-8ba0-b329d441e318,denkmee-hoogstraten.be,,,,
cl2-cf-urbanlab,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/2c272260-732b-4fa7-8482-55cf2ecdd95c,monquartierinnove.fr,,,,
cl2-cf-wuustwezel,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/fd7fb934-e21e-4648-91c8-61d012c80365,wuustwezelwenst.be,,,,
cl2-cf-oudenaarde,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/67d2f3d6-e4ce-4069-bf83-93a32355f5c4,inspraak.oudenaarde.be,,,,
cl2-cf-ninove,CloudFormation,Deploy,arn:aws:acm:us-east-1:389841910643:certificate/636575d8-0365-427d-804d-55bdd57ed0ed,mijn.ninove.be,,,,
