ID,host,created_at,lifecycle_stage,cluster,approach,terraformed?,imported?,setSpamGeoBlock,setHSTSLambda,extra DNS records?,redirect?,notes
9c2c6062-c4a8-4a54-97e1-4ce8dc6de8ca,participer.cmm.qc.ca,2022-04-06 09:42:31 UTC,active,CAN,NS,,no,,,,,
c82031fb-d375-4f8a-b04e-a211375ff43a,participation.concordia.ca,2021-01-28 15:37:07 UTC,active,CAN,CNAME,,no,,,,,
e38cd088-fbe5-422d-8dbe-f789be86a851,localhost,2020-03-28 13:59:52 UTC,demo,STG,unknown,,arn == nil,,,,,
92805e22-2739-4cdb-a11a-c3a918082d38,engage.hellamtownship.com,2022-12-19 12:34:02 UTC,active,USW,NS,,no,,,,,
20af1c4a-06fc-4045-acf7-a881a436cb53,engage.seattleparksandrec.com,2023-02-08 19:27:10 UTC,active,USW,NS,,no,,,,,
f59db27b-f02f-4d1d-b28f-679323ce8964,my.cityofplattsburgh-ny.gov,2023-01-05 13:39:35 UTC,active,USW,NS,,no,,,,,
6be624b4-39bb-4083-8bf5-a737eb817ecd,cushingforward.com,2023-03-10 14:46:54 UTC,active,USW,unknown,YES,no,,,,,Why not returned in dig CNAME?
be903251-eed3-4bea-bf1f-ea06642561be,engagebothell.com,2023-02-19 23:11:22 UTC,active,USW,NS,,no,,,,,
a35d0232-3d85-4d42-a92e-701d085040af,rebuildtherec.org,2023-01-09 15:44:15 UTC,active,USW,NS,,no,,,,,
fe576642-4937-46bb-a55c-499148158b1c,engage.cityoflancasterpa.gov,2020-07-23 12:33:54 UTC,active,USW,NS,,no,TRUE,,,,
d85bd17b-144e-4743-a410-6e049f446b2c,peoplestech.nyc,2021-08-03 13:02:15 UTC,active,USW,NS,,no,,,,,
0cb33cd6-4690-4842-84ac-2b6c1b21136d,engage.chillicotheoh.gov,2022-06-14 16:50:05 UTC,active,USW,CNAME,,no,,,,,
6f9f840b-cb90-40cb-bee9-83e2cd7f6b8c,iheartmac.org,2022-08-10 20:12:04 UTC,active,USW,NS,,no,,,,,
0a403d08-947e-4979-915e-3b6781d17ac4,engage.cityofallen.org,2023-04-05 18:03:14 UTC,active,USW,NS,,no,,,,,
b06e6dba-56d9-41f4-8863-831ecd511acc,engage.communityfoodnavigator.org,2021-10-18 17:29:31 UTC,active,USW,NS,,no,,,,,
e2274dd8-6b0a-4bc8-81ce-4d6058273967,engage.oakleyca.gov,2022-11-07 17:14:19 UTC,active,USW,NS,,no,,,,,
5bb39854-9598-417f-a457-0a3a8215f8ad,engage.valleyregionaltransit.org,2021-05-17 13:34:04 UTC,active,USW,CNAME,,no,,,,,
78507c00-101b-488f-b3be-80ed6977c17d,hellohyattsville.com,2022-06-06 15:13:08 UTC,active,USW,NS,,no,,,,,
0b9039ea-dd16-4c81-8484-be1aede479d1,buildharriscountyso.com,2023-03-10 18:35:56 UTC,active,USW,NS,,no,,,,,
66e46c6a-17ac-4749-8ee2-909fb07b0181,engage.durango.org,2022-03-17 22:44:01 UTC,active,USW,CNAME,,no,,,,,
2d42bf35-ea6e-4628-9112-0e387bed90f8,norristownbuzz.org,2021-08-02 09:37:36 UTC,active,USW,NS,,no,,,,,
f0b539a6-5e77-47cb-af2a-732bad5114c4,our.biddefordmaine.org,2022-04-18 19:49:45 UTC,active,USW,CNAME,,no,,,,,
f7375c83-8e99-4e21-9067-a90081c121e9,plan.providenceri.gov,2022-12-09 23:25:21 UTC,active,USW,NS,,no,,,,,
