ID,host,created_at,lifecycle_stage,cluster
70872ff9-4aa5-4865-be14-d4267c000409,saanich.citizenlab.co,2023-10-18 20:59:44 UTC,active,CAN
706ea23d-135b-429a-8e46-22f7585c3436,ottawa-demo.citizenlab.co,2021-08-24 16:27:18 UTC,demo,CAN
9c2c6062-c4a8-4a54-97e1-4ce8dc6de8ca,participer.cmm.qc.ca,2022-04-06 09:42:31 UTC,active,CAN
da989cd6-0dfb-4285-a582-13835f76ce2c,toronto-ward-18.citizenlab.co,2023-10-26 22:19:00 UTC,active,CAN
703e158a-b8d8-439f-b4ab-85f76832c911,aem-goldex.citizenlab.co,2020-04-27 13:32:21 UTC,churned,CAN
a9b75aab-fbe0-4606-9a45-a20580c0aaf3,bowenisland.citizenlab.co,2019-11-05 19:43:36 UTC,active,CAN
78330989-b1ef-4e62-b7d0-0ae0ca9dbc66,vancouver.citizenlab.co,2018-04-05 21:29:17 UTC,churned,CAN
c82031fb-d375-4f8a-b04e-a211375ff43a,participation.concordia.ca,2021-01-28 15:37:07 UTC,active,CAN
a5fb75cf-f055-4411-959c-8a39138f66f7,cat.citizenlab.co,2022-02-07 13:26:20 UTC,churned,CAN
0a1d83d4-01b0-46d7-95be-c657ca6e3534,albertaparty.citizenlab.co,2022-03-29 22:47:35 UTC,active,CAN
d3f9dcd7-f1f8-490a-92dd-e0885ced04f8,acosys-demo.citizenlab.co,2021-09-18 14:22:47 UTC,demo,CAN
3882af3d-92bb-4cfd-ba78-a1a9d9005960,adrien-test-staging-2.stg.citizenlab.co,2023-11-17 11:28:54 UTC,active,STG
424238f2-9e72-4d5d-913d-8867a12bff40,adrien-moderator-confirmation-test-3.stg.citizenlab.co.stg.citizenlab.co,2023-11-15 12:09:38 UTC,active,STG
e400070c-a39e-460f-85d7-88086ecdce56,adrien-moderator-confirmation-test-6.stg.citizenlab.co,2023-11-15 13:47:15 UTC,active,STG
62f05539-002a-4b00-b82c-ee08f2384f17,lokeren.stg.citizenlab.co,2020-07-27 14:07:10 UTC,not_applicable,STG
ff1fd996-9aa8-4a26-b079-da0abe70b39d,dourovalley2021.stg.citizenlab.co,2021-06-12 21:39:30 UTC,demo,STG
4b9c169b-8b92-4ac5-8a31-693a9fcaf6e9,nlp2021.stg.citizenlab.co,2021-06-14 19:21:20 UTC,demo,STG
00d385aa-9309-43a2-818f-57c726580359,pentest2.stg.citizenlab.co,2021-10-02 06:51:10 UTC,demo,STG
8c5beef2-1a08-44fe-bc4a-1b2656fa1dd5,mathieuspalace.stg.citizenlab.co,2020-11-19 15:33:08 UTC,demo,STG
31406789-e0a1-4035-b85d-8f4f2c4d4a88,onboarding-test.stg.citizenlab.co,2018-07-05 13:30:40 UTC,demo,STG
948dae8f-cb53-40dd-9c42-5b5ead7601dc,adrien-moderator-confirmation-test-2.stg.citizenlab.co,2023-11-15 08:14:47 UTC,active,STG
