ID,Host,Lifecycle Stage,Created At,Response
9c2c6062-c4a8-4a54-97e1-4ce8dc6de8ca,participer.cmm.qc.ca,active,2022-04-06T09:42:31.278535,9c2c6062-c4a8-4a54-97e1-4ce8dc6de8ca,1. app_configuration success
a9b75aab-fbe0-4606-9a45-a20580c0aaf3,bowenisland.citizenlab.co,active,2019-11-05T19:43:36.163208,a9b75aab-fbe0-4606-9a45-a20580c0aaf3,1. app_configuration success
c82031fb-d375-4f8a-b04e-a211375ff43a,participation.concordia.ca,active,2021-01-28T15:37:07.039418,c82031fb-d375-4f8a-b04e-a211375ff43a,1. app_configuration success
a5fb75cf-f055-4411-959c-8a39138f66f7,cat.citizenlab.co,churned,2022-02-07T13:26:20.479927,a5fb75cf-f055-4411-959c-8a39138f66f7,1. app_configuration success
0a1d83d4-01b0-46d7-95be-c657ca6e3534,albertaparty.citizenlab.co,active,2022-03-29T22:47:35.009104,0a1d83d4-01b0-46d7-95be-c657ca6e3534,1. app_configuration success
a678a659-5ac0-4ab0-8270-2da3a4081cc3,ideas.smartertogether.ca,churned,2018-01-27T18:25:47.087546,a678a659-5ac0-4ab0-8270-2da3a4081cc3,SocketError: Failed to open TCP connection to ideas.smartertogether.ca:443 (getaddrinfo: nodename nor servname provided, or not known)
703e158a-b8d8-439f-b4ab-85f76832c911,aem-goldex.citizenlab.co,churned,2020-04-27T13:32:21.460911,703e158a-b8d8-439f-b4ab-85f76832c911,1. app_configuration success
78330989-b1ef-4e62-b7d0-0ae0ca9dbc66,vancouver.citizenlab.co,churned,2018-04-05T21:29:17.426954,78330989-b1ef-4e62-b7d0-0ae0ca9dbc66,1. app_configuration success
706ea23d-135b-429a-8e46-22f7585c3436,ottawa-demo.citizenlab.co,demo,2021-08-24T16:27:18.34078,706ea23d-135b-429a-8e46-22f7585c3436,1. app_configuration success
324e98fc-7355-44b2-95b9-dd6034c6ae31,slrd-trial.citizenlab.co,demo,2022-01-31T17:39:52.183178,324e98fc-7355-44b2-95b9-dd6034c6ae31,Net::OpenTimeout: Failed to open TCP connection to slrd-trial.citizenlab.co:443 (execution expired)
d3f9dcd7-f1f8-490a-92dd-e0885ced04f8,acosys-demo.citizenlab.co,demo,2021-09-18T14:22:47.201528,d3f9dcd7-f1f8-490a-92dd-e0885ced04f8,SocketError: Failed to open TCP connection to acosys-demo.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
d6c470a9-f087-4782-aabc-6c8683ce4949,ecpfl-demo.citizenlab.co,demo,2021-08-24T13:53:18.28817,d6c470a9-f087-4782-aabc-6c8683ce4949,SocketError: Failed to open TCP connection to ecpfl-demo.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
70872ff9-4aa5-4865-be14-d4267c000409,saanich.citizenlab.co,active,2023-10-18T20:59:44.268819,70872ff9-4aa5-4865-be14-d4267c000409,SocketError: Failed to open TCP connection to saanich.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
da989cd6-0dfb-4285-a582-13835f76ce2c,toronto-ward-18.citizenlab.co,active,2023-10-26T22:19:00.328469,da989cd6-0dfb-4285-a582-13835f76ce2c,SocketError: Failed to open TCP connection to toronto-ward-18.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
22054193-73ce-48dd-8ea7-53eca53f233a,santaanatzacuala-hidalgo.citizenlab.co,active,2022-05-30T17:20:47.498548,22054193-73ce-48dd-8ea7-53eca53f233a,SocketError: Failed to open TCP connection to santaanatzacuala-hidalgo.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
